1	5	0.479603
1	10	0.239802
1	15	0.159868
1	20	0.119901
1	25	0.0959207
1	30	0.0799339
1	40	0.0599504
3	5	1.4417
3	10	0.720848
3	15	0.480566
3	20	0.360424
3	25	0.288339
3	30	0.240283
3	40	0.180212
5	5	2.40766
5	10	1.20383
5	15	0.802553
5	20	0.601914
5	25	0.481532
5	30	0.401276
5	40	0.300957
7	5	3.37751
7	10	1.68875
7	15	1.12584
7	20	0.844377
7	25	0.675502
7	30	0.562918
7	40	0.422189
10	5	4.83964
10	10	2.41982
10	15	1.61321
10	20	1.20991
10	25	0.967927
10	30	0.806606
10	40	0.604954
12	5	5.30459
12	10	2.90966
12	15	1.93977
12	20	1.45483
12	25	1.16386
12	30	0.969886
12	40	0.727415
15	5	5.30459
15	10	3.64815
15	15	2.4321
15	20	1.82408
15	25	1.45926
15	30	1.21605
15	40	0.912038
18	5	5.30459
18	10	4.39116
18	15	2.92744
18	20	2.19558
18	25	1.75646
18	30	1.46372
18	40	1.09779
20	5	5.30459
20	10	4.88902
20	15	3.25935
20	20	2.44451
20	25	1.95561
20	30	1.62967
20	40	1.22225
25	5	5.30459
25	10	5.30459
25	15	4.09508
25	20	3.07131
25	25	2.45705
25	30	2.04754
25	40	1.53565
30	5	5.30459
30	10	5.30459
30	15	4.93942
30	20	3.70457
30	25	2.96365
30	30	2.46971
30	40	1.85228
40	5	5.30459
40	10	5.30459
40	15	5.30459
40	20	4.99087
40	25	3.9927
40	30	3.32725
40	40	2.49544
60	5	5.30459
60	10	5.30459
60	15	5.30459
60	20	5.30459
60	25	5.30459
60	30	5.09706
60	40	3.8228
