SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
3	10	6.562	4.086	5.976	1.735
3	15	8.701	5.350	8.068	2.448
3	20	11.154	6.456	10.439	3.209
3	30	16.938	8.482	15.950	4.910
3	40	23.795	10.411	22.419	6.855
5	10	6.688	5.149	5.904	2.042
5	15	8.795	6.876	7.956	2.853
5	20	11.193	8.375	10.291	3.693
5	30	16.865	11.058	15.743	5.530
5	40	23.629	13.549	22.161	7.595
10	10	6.966	7.392	5.764	2.731
10	15	9.030	10.324	7.706	3.815
10	20	11.331	12.864	9.945	4.873
10	30	16.763	17.317	15.236	7.072
10	40	23.288	21.315	21.517	9.452
15	10	7.152	8.978	5.670	3.240
15	15	9.219	13.153	7.510	4.643
15	20	11.466	16.778	9.649	5.949
15	30	16.719	23.098	14.764	8.545
15	40	23.037	28.710	20.898	11.260
20	10	7.251	9.928	5.604	3.549
20	15	9.353	15.383	7.358	5.308
20	20	11.569	20.124	9.400	6.891
20	30	16.683	28.381	14.335	9.923
20	40	22.823	35.665	20.311	12.995
30	10	7.258	10.006	5.597	3.574
30	15	9.485	18.106	7.147	6.129
30	20	11.684	25.190	9.019	8.337
30	30	16.587	37.483	13.595	12.344
30	40	22.426	48.269	19.243	16.200
40	10	7.258	10.006	5.597	3.574
40	15	9.487	18.205	7.136	6.159
40	20	11.712	28.098	8.757	9.171
40	30	16.466	44.664	13.001	14.278
40	40	22.043	59.139	18.315	19.007
