SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
3	10	6.810	4.471	6.147	1.856
3	15	8.963	5.992	8.239	2.631
3	20	11.407	7.330	10.614	3.444
3	30	17.154	9.751	16.138	5.232
3	40	24.001	12.006	22.619	7.254
5	10	6.926	5.442	6.075	2.141
5	15	9.060	7.449	8.131	3.023
5	20	11.460	9.201	10.470	3.921
5	30	17.121	12.317	15.930	5.856
5	40	23.873	15.184	22.358	8.009
10	10	7.198	7.574	5.941	2.804
10	15	9.307	10.827	7.887	3.980
10	20	11.629	13.671	10.125	5.114
10	30	17.066	18.678	15.415	7.442
10	40	23.577	23.169	21.696	9.933
15	10	7.379	9.078	5.850	3.290
15	15	9.502	13.617	7.694	4.804
15	20	11.777	17.602	9.829	6.206
15	30	17.043	24.595	14.932	8.964
15	40	23.346	30.815	21.053	11.818
20	10	7.457	9.810	5.795	3.530
20	15	9.637	15.774	7.545	5.453
20	20	11.886	20.941	9.582	7.154
20	30	17.019	29.993	14.493	10.384
20	40	23.144	38.011	20.446	13.627
30	10	7.457	9.810	5.795	3.530
30	15	9.748	17.979	7.367	6.122
30	20	12.006	25.832	9.207	8.561
30	30	16.937	39.190	13.746	12.849
30	40	22.759	50.971	19.349	16.945
40	10	7.457	9.810	5.795	3.530
40	15	9.748	17.979	7.367	6.122
40	20	12.027	27.926	9.010	9.164
40	30	16.825	46.241	13.157	14.759
40	40	22.384	61.986	18.407	19.807
