SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
3	10	6.372	4.132	5.777	1.729
3	15	8.494	5.575	7.836	2.484
3	20	10.898	6.839	10.166	3.274
3	30	16.568	9.141	15.602	5.023
3	40	23.319	11.310	22.005	7.011
5	10	6.468	4.971	5.718	1.971
5	15	8.566	6.816	7.743	2.813
5	20	10.930	8.426	10.043	3.674
5	30	16.519	11.323	15.426	5.548
5	40	23.211	14.006	21.784	7.650
10	10	6.699	6.896	5.591	2.558
10	15	8.758	9.796	7.518	3.640
10	20	11.045	12.333	9.734	4.700
10	30	16.445	16.838	14.977	6.910
10	40	22.929	20.910	21.210	9.303
15	10	6.870	8.383	5.500	3.030
15	15	8.922	12.375	7.332	4.388
15	20	11.160	15.893	9.460	5.672
15	30	16.396	22.095	14.545	8.244
15	40	22.692	27.649	20.643	10.948
20	10	6.971	9.361	5.432	3.347
20	15	9.045	14.491	7.184	5.015
20	20	11.250	19.020	9.224	6.546
20	30	16.353	26.987	14.143	9.513
20	40	22.482	34.077	20.097	12.544
30	10	6.993	9.592	5.412	3.421
30	15	9.179	17.294	6.971	5.856
30	20	11.355	23.934	8.849	7.941
30	30	16.250	35.594	13.438	11.790
30	40	22.092	45.910	19.089	15.539
40	10	6.993	9.592	5.412	3.421
40	15	9.191	17.674	6.933	5.969
40	20	11.387	27.026	8.583	8.825
40	30	16.124	42.586	12.856	13.664
40	40	21.714	56.301	18.197	18.209
