SS	SM	eps_real_L	eps_imag_L	eps_real_C	eps_imag_C
3	10	6.777	4.379	6.133	1.829
3	15	8.934	5.820	8.235	2.586
3	20	11.382	7.083	10.615	3.382
3	30	17.157	9.362	16.143	5.141
3	40	24.021	11.507	22.631	7.139
5	10	6.903	5.404	6.062	2.129
5	15	9.033	7.333	8.123	2.991
5	20	11.435	9.005	10.464	3.872
5	30	17.110	11.986	15.932	5.778
5	40	23.875	14.735	22.367	7.904
10	10	7.183	7.602	5.925	2.812
10	15	9.282	10.784	7.872	3.966
10	20	11.600	13.554	10.114	5.081
10	30	17.040	18.419	15.411	7.376
10	40	23.561	22.779	21.699	9.838
15	10	7.366	9.136	5.833	3.307
15	15	9.479	13.610	7.677	4.800
15	20	11.748	17.525	9.815	6.182
15	30	17.014	24.370	14.926	8.904
15	40	23.323	30.448	21.056	11.725
20	10	7.449	9.915	5.775	3.562
20	15	9.615	15.799	7.528	5.458
20	20	11.858	20.891	9.566	7.137
20	30	16.989	29.788	14.486	10.328
20	40	23.119	37.651	20.449	13.534
30	10	7.449	9.915	5.775	3.562
30	15	9.730	18.108	7.342	6.158
30	20	11.978	25.840	9.190	8.559
30	30	16.905	39.022	13.737	12.799
30	40	22.731	50.619	19.352	16.851
40	10	7.449	9.915	5.775	3.562
40	15	9.730	18.108	7.342	6.158
40	20	12.001	28.076	8.981	9.203
40	30	16.792	46.125	13.146	14.722
40	40	22.355	61.653	18.408	19.715
